Thdr_1	Thunder	54	5,3,6	10	12,27, 42,68,83,112,147,196,249,324	DMG	Thunder	2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Thdr_2	Thunder	54	5,3,14	10	31,74,123,268,392,534,632,749,864,1025	DMG	Thunder+	2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ice_1	Ice	53	5,3,6	10	12,27, 42,68,83,112,147,196,249,324	DMG	Aqua	2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ice_2	Ice	53	5,3,14	10	31,74,123,268,392,534,632,749,864,1025	DMG	Aqua+	2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Fire_sc	Fire Scrach	5	5,4,16	5	12,27, 42,68,83,112,147,196,249,324	DMG	Fire+	2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Fire_sl	Fire Slash	55	5,5,24	5	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Fire_ex	Fire Explotion	6	5,2,8	10	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ignus_rg	Ignus Rage	14	5,2,7	5	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ignus_st	Ignus Strike	15	5,2,10	5	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Fire_bl	Fire Ball	16	5,2,6	10	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Fire_dc	Fire Dance	17	5,6,29	5	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ignus_bl	Ignus Blow	18	5,2,6	1	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ignus_ex	Ignus Explotion	23	5,2,10	5	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ignus_bn	Ignus Burn	24	5,3,12	5	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ignus_bm	Ignus Bomb	25	5,6,30	10	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ignus_sm	Ignus Storm	39	5,3,15	10	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
Ignus_su	Ignus Souls	40	5,5,25	5	12,27, 42,68,83,112,147,196,249,324	DMG		2,2.5,3,3.5,4,4.5,5,5.5,6,6.5	;
