HP_POTION{101-107}
SP_POTION{108-114}
WEAPON{1-100}
LV1{1,21,41,61,81,101,108,115,135,155,175,195,196}
LV5{2,22,42,62,82,101,108,116,136,156,176,197,198}
LV10{3,23,43,63,83,102,109,117,137,157,177,199,200}
LV15{4,24,44,64,84,102,109,118,138,158,178,201,202}
LV20{5,25,45,65,85,103,110,119,139,159,179,203,204}
LV25{6,26,46,66,86,103,110,120,140,160,180,205,206}
LV30{7,27,47,67,87,104,111,121,141,161,181,207,208}
LV35{8,28,48,68,88,104,111,122,142,162,182,209,210}
LV40{9,29,49,69,89,105,112,123,143,163,183,211,212,235,236}
LV45{10,30,50,70,90,105,112,124,144,164,184,213,214}
LV50{11,31,51,71,91,106,113,125,145,165,185,215,216}
LV55{12,32,52,72,92,106,113,126,146,166,186,217,218}
LV60{13,33,53,73,93,107,114,127,147,167,187,219,220}
LV65{14,34,54,74,94,107,114,128,148,168,188,221,222}
LV70{15,35,55,75,95,107,114,129,149,169,189,223,224}
LV75{16,36,56,76,96,107,114,130,150,170,190,225,226}
LV80{17,37,57,77,97,107,114,131,151,171,191,227,228}
LV85{18,38,58,78,98,107,114,132,152,172,192,229,230}
LV90{19,39,59,79,99,107,114,133,153,173,193,231,232}
LV95{20,40,60,80,100,107,114,134,154,174,194,233,234}
